# Задание 15: Н и НН
# Формат: предложение | ответ | варианты | пояснение
# Ответы восстановлены по условию и цифровому ключу.

# Комплект 1; источник № 88
Путники, задумчивые и восторже(Н/НН)ые одновременно, очутились как бы в ватном облаке, солнце превратилось в маленький оловянный круг, по которому плыли белесые клочья, пока совершенно не закрыли его. | НН | Н,НН | Правильное написание: восторженные.
Во дворе стояли запылё(Н/НН)ые грузовики, на кошме в тени спал человек в замасленной майке и длинных шортах. | НН | Н,НН | Правильное написание: запылённые.
Во дворе стояли запылённые грузовики, на кошме в тени спал человек в замасле(Н/НН)ой майке и длинных шортах. | НН | Н,НН | Правильное написание: замасленной.
Во дворе стояли запылённые грузовики, на кошме в тени спал человек в замасленной майке и дли(Н/НН)ых шортах. | НН | Н,НН | Правильное написание: длинных.

# Комплект 38; источник № 54404
На переднем плане картины ярко выделяется девичья фигура в белоснежном платье с плетё(Н/НН)ыми рукавами на фоне фигур ряженых с мазанными сажей лицами. | Н | Н,НН | Правильное написание: плетёными.
На переднем плане картины ярко выделяется девичья фигура в белоснежном платье с плетёными рукавами на фоне фигур ряже(Н/НН)ых с мазанными сажей лицами. | Н | Н,НН | Правильное написание: ряженых.
На переднем плане картины ярко выделяется девичья фигура в белоснежном платье с плетёными рукавами на фоне фигур ряженых с маза(Н/НН)ыми сажей лицами. | НН | Н,НН | Правильное написание: мазанными.

# Комплект 39; источник № 37267
Через неплотно притворё(Н/НН)ые ставни было видно изразцовую печь, свежевыкрашенные полы, недавно крашенные хозяевами стены, увешанные рисунками на темы детских сказок. | НН | Н,НН | Правильное написание: притворённые.
Через неплотно притворённые ставни было видно изразцовую печь, свежевыкраше(Н/НН)ые полы, недавно крашенные хозяевами стены, увешанные рисунками на темы детских сказок. | НН | Н,НН | Правильное написание: свежевыкрашенные.
Через неплотно притворённые ставни было видно изразцовую печь, свежевыкрашенные полы, недавно краше(Н/НН)ые хозяевами стены, увешанные рисунками на темы детских сказок. | НН | Н,НН | Правильное написание: крашенные.
Через неплотно притворённые ставни было видно изразцовую печь, свежевыкрашенные полы, недавно крашенные хозяевами стены, увеша(Н/НН)ые рисунками на темы детских сказок. | НН | Н,НН | Правильное написание: увешанные.

# Комплект 40; источник № 4676
Славное место эта долина: со всех сторон горы неприступные, красноватые скалы, которые обвеша(Н/НН)ы зелёным плющом и увенчаны купами чинар, жёлтые обрывы, исчерченные промоинами, высоко-высоко — золотая бахрома облаков, а внизу — Арагва. | Н | Н,НН | Правильное написание: обвешаны.
Славное место эта долина: со всех сторон горы неприступные, красноватые скалы, которые обвешаны зелёным плющом и увенча(Н/НН)ы купами чинар, жёлтые обрывы, исчерченные промоинами, высоко-высоко — золотая бахрома облаков, а внизу — Арагва. | Н | Н,НН | Правильное написание: увенчаны.
Славное место эта долина: со всех сторон горы неприступные, красноватые скалы, которые обвешаны зелёным плющом и увенчаны купами чинар, жёлтые обрывы, исчерче(Н/НН)ые промоинами, высоко-высоко — золотая бахрома облаков, а внизу — Арагва. | НН | Н,НН | Правильное написание: исчерченные.

# Комплект 41; источник № 43678
Занесё(Н/НН)ый случаем в антикварный магазин прохожий оказывается в довольно странном мире вещей, где собраны стулья и комоды, чашки и подносы, игрушки и старинные люстры. | НН | Н,НН | Правильное написание: Занесённый.
Занесённый случаем в антикварный магазин прохожий оказывается в довольно стра(Н/НН)ом мире вещей, где собраны стулья и комоды, чашки и подносы, игрушки и старинные люстры. | НН | Н,НН | Правильное написание: странном.
Занесённый случаем в антикварный магазин прохожий оказывается в довольно странном мире вещей, где собра(Н/НН)ы стулья и комоды, чашки и подносы, игрушки и старинные люстры. | Н | Н,НН | Правильное написание: собраны.
Занесённый случаем в антикварный магазин прохожий оказывается в довольно странном мире вещей, где собраны стулья и комоды, чашки и подносы, игрушки и стари(Н/НН)ые люстры. | НН | Н,НН | Правильное написание: старинные.
Некоторые из них, отреставрирова(Н/НН)ые, расставлены по магазину как часть интерьера, другие неупорядоченно брошены на полки. | НН | Н,НН | Правильное написание: отреставрированные.
Некоторые из них, отреставрированные, расставле(Н/НН)ы по магазину как часть интерьера, другие неупорядоченно брошены на полки. | Н | Н,НН | Правильное написание: расставлены.
Некоторые из них, отреставрированные, расставлены по магазину как часть интерьера, другие неупорядоче(Н/НН)о брошены на полки. | НН | Н,НН | Правильное написание: неупорядоченно.
Некоторые из них, отреставрированные, расставлены по магазину как часть интерьера, другие неупорядоченно броше(Н/НН)ы на полки. | Н | Н,НН | Правильное написание: брошены.

# Комплект 42; источник № 24308
Здесь берега реки соверше(Н/НН)о пустынны, поэтому ты чувствуешь себя затерянным в бескрайних просторах, неисследованных и необжитых. | НН | Н,НН | Правильное написание: совершенно.
Здесь берега реки совершенно пусты(Н/НН)ы, поэтому ты чувствуешь себя затерянным в бескрайних просторах, неисследованных и необжитых. | НН | Н,НН | Правильное написание: пустынны.
Здесь берега реки совершенно пустынны, поэтому ты чувствуешь себя затеря(Н/НН)ым в бескрайних просторах, неисследованных и необжитых. | НН | Н,НН | Правильное написание: затерянным.
Здесь берега реки совершенно пустынны, поэтому ты чувствуешь себя затерянным в бескрайних просторах, неисследова(Н/НН)ых и необжитых. | НН | Н,НН | Правильное написание: неисследованных.

# Комплект 43; источник № 1077
Мы видим, что в костя(Н/НН)ых коньках, найденных археологами на севере Европы, проделаны отверстия для кожаных тесёмок. | Н | Н,НН | Правильное написание: костяных.
Мы видим, что в костяных коньках, найде(Н/НН)ых археологами на севере Европы, проделаны отверстия для кожаных тесёмок. | НН | Н,НН | Правильное написание: найденных.
Мы видим, что в костяных коньках, найденных археологами на севере Европы, продела(Н/НН)ы отверстия для кожаных тесёмок. | Н | Н,НН | Правильное написание: проделаны.
Мы видим, что в костяных коньках, найденных археологами на севере Европы, проделаны отверстия для кожа(Н/НН)ых тесёмок. | Н | Н,НН | Правильное написание: кожаных.

# Комплект 44; источник № 4871
закончилось катастрофой: вскоре были арестова(Н/НН)ы её муж и дочь, с большим трудом подготовленный к изданию сборник цветаевских стихотворений и прозы был отвергнут, жизненные силы поэтессы были подорваны. | Н | Н,НН | Правильное написание: арестованы.
закончилось катастрофой: вскоре были арестованы её муж и дочь, с большим трудом подготовле(Н/НН)ый к изданию сборник цветаевских стихотворений и прозы был отвергнут, жизненные силы поэтессы были подорваны. | НН | Н,НН | Правильное написание: подготовленный.
закончилось катастрофой: вскоре были арестованы её муж и дочь, с большим трудом подготовленный к изданию сборник цветаевских стихотворений и прозы был отвергнут, жизне(Н/НН)ые силы поэтессы были подорваны. | НН | Н,НН | Правильное написание: жизненные.
закончилось катастрофой: вскоре были арестованы её муж и дочь, с большим трудом подготовленный к изданию сборник цветаевских стихотворений и прозы был отвергнут, жизненные силы поэтессы были подорва(Н/НН)ы. | Н | Н,НН | Правильное написание: подорваны.

# Комплект 45; источник № 50
Впереди виднеется слома(Н/НН)ая лиственница, серебряный в инее пень, значит, – мне в следующий дом. | НН | Н,НН | Правильное написание: сломанная.
Впереди виднеется сломанная листве(Н/НН)ица, серебряный в инее пень, значит, – мне в следующий дом. | НН | Н,НН | Правильное написание: лиственница.
Впереди виднеется сломанная лиственница, серебря(Н/НН)ый в инее пень, значит, – мне в следующий дом. | Н | Н,НН | Правильное написание: серебряный.

# Комплект 46; источник № 49997
projectus — броше(Н/НН)ый вперёд, выступающий, выдающийся вперёд, торчащий) — это уникальная деятельность, имеющая начало и конец во времени, направленная на достижение заранее определённого результата (цели), создание уникального продукта или услуги при заданных ограничениях по ресурсам и срокам, а также требованиям к качеству. | НН | Н,НН | Правильное написание: брошенный.
projectus — брошенный вперёд, выступающий, выдающийся вперёд, торчащий) — это уникальная деятельность, имеющая начало и конец во времени, направле(Н/НН)ая на достижение заранее определённого результата (цели), создание уникального продукта или услуги при заданных ограничениях по ресурсам и срокам, а также требованиям к качеству. | НН | Н,НН | Правильное написание: направленная.
projectus — брошенный вперёд, выступающий, выдающийся вперёд, торчащий) — это уникальная деятельность, имеющая начало и конец во времени, направленная на достижение зара(Н/НН)ее определённого результата (цели), создание уникального продукта или услуги при заданных ограничениях по ресурсам и срокам, а также требованиям к качеству. | Н | Н,НН | Правильное написание: заранее.
projectus — брошенный вперёд, выступающий, выдающийся вперёд, торчащий) — это уникальная деятельность, имеющая начало и конец во времени, направленная на достижение заранее определё(Н/НН)ого результата (цели), создание уникального продукта или услуги при заданных ограничениях по ресурсам и срокам, а также требованиям к качеству. | НН | Н,НН | Правильное написание: определённого.
projectus — брошенный вперёд, выступающий, выдающийся вперёд, торчащий) — это уникальная деятельность, имеющая начало и конец во времени, направленная на достижение заранее определённого результата (цели), создание уникального продукта или услуги при зада(Н/НН)ых ограничениях по ресурсам и срокам, а также требованиям к качеству. | НН | Н,НН | Правильное написание: заданных.

# Комплект 47; источник № 7036
Делавшие замаскирова(Н/НН)ый под грабёж обыск забрали только то, что находилось в столе, прочие бумаги оставлены совершенно нетронутыми. | НН | Н,НН | Правильное написание: замаскированный.
Делавшие замаскированный под грабёж обыск забрали только то, что находилось в столе, прочие бумаги оставле(Н/НН)ы совершенно нетронутыми. | Н | Н,НН | Правильное написание: оставлены.
Делавшие замаскированный под грабёж обыск забрали только то, что находилось в столе, прочие бумаги оставлены соверше(Н/НН)о нетронутыми. | НН | Н,НН | Правильное написание: совершенно.

# Комплект 48; источник № 50452
Обстановка была самая торжестве(Н/НН)ая: в старинном зале, на стенах которого были развешаны полотна известных художников, собрались выдающиеся деятели искусства, многие из которых были удостоены высоких наград. | НН | Н,НН | Правильное написание: торжественная.
Обстановка была самая торжественная: в стари(Н/НН)ом зале, на стенах которого были развешаны полотна известных художников, собрались выдающиеся деятели искусства, многие из которых были удостоены высоких наград. | НН | Н,НН | Правильное написание: старинном.
Обстановка была самая торжественная: в старинном зале, на стенах которого были развеша(Н/НН)ы полотна известных художников, собрались выдающиеся деятели искусства, многие из которых были удостоены высоких наград. | Н | Н,НН | Правильное написание: развешаны.
Обстановка была самая торжественная: в старинном зале, на стенах которого были развешаны полотна известных художников, собрались выдающиеся деятели искусства, многие из которых были удостое(Н/НН)ы высоких наград. | Н | Н,НН | Правильное написание: удостоены.

# Комплект 49; источник № 6010
Осе(Н/НН)ие улицы были усыпаны жёлтой и багряной листвой, напоминавшей пёстротканый ковёр. | НН | Н,НН | Правильное написание: Осенние.
Осенние улицы были усыпа(Н/НН)ы жёлтой и багряной листвой, напоминавшей пёстротканый ковёр. | Н | Н,НН | Правильное написание: усыпаны.
Осенние улицы были усыпаны жёлтой и багря(Н/НН)ой листвой, напоминавшей пёстротканый ковёр. | Н | Н,НН | Правильное написание: багряной.
Осенние улицы были усыпаны жёлтой и багряной листвой, напоминавшей пёстротка(Н/НН)ый ковёр. | Н | Н,НН | Правильное написание: пёстротканый.

# Комплект 50; источник № 60248
Бублик был смышлё(Н/НН)ее остальных и обладал неслыханной для собаки наглостью: заранее выходил ждать дачный автобус и так искренне прихрамывал, так страдал на публику, что ему обязательно перепадал или свиной хрящик, или кусочек заветренной сырокопчёной колбаски. | Н | Н,НН | Правильное написание: смышлёнее.
Бублик был смышлёнее остальных и обладал неслыха(Н/НН)ой для собаки наглостью: заранее выходил ждать дачный автобус и так искренне прихрамывал, так страдал на публику, что ему обязательно перепадал или свиной хрящик, или кусочек заветренной сырокопчёной колбаски. | НН | Н,НН | Правильное написание: неслыханной.
Бублик был смышлёнее остальных и обладал неслыханной для собаки наглостью: зара(Н/НН)ее выходил ждать дачный автобус и так искренне прихрамывал, так страдал на публику, что ему обязательно перепадал или свиной хрящик, или кусочек заветренной сырокопчёной колбаски. | Н | Н,НН | Правильное написание: заранее.
Бублик был смышлёнее остальных и обладал неслыханной для собаки наглостью: заранее выходил ждать дачный автобус и так искре(Н/НН)е прихрамывал, так страдал на публику, что ему обязательно перепадал или свиной хрящик, или кусочек заветренной сырокопчёной колбаски. | НН | Н,НН | Правильное написание: искренне.
Бублик был смышлёнее остальных и обладал неслыханной для собаки наглостью: заранее выходил ждать дачный автобус и так искренне прихрамывал, так страдал на публику, что ему обязательно перепадал или сви(Н/НН)ой хрящик, или кусочек заветренной сырокопчёной колбаски. | Н | Н,НН | Правильное написание: свиной.
Бублик был смышлёнее остальных и обладал неслыханной для собаки наглостью: заранее выходил ждать дачный автобус и так искренне прихрамывал, так страдал на публику, что ему обязательно перепадал или свиной хрящик, или кусочек заветре(Н/НН)ой сырокопчёной колбаски. | НН | Н,НН | Правильное написание: заветренной.
Бублик был смышлёнее остальных и обладал неслыханной для собаки наглостью: заранее выходил ждать дачный автобус и так искренне прихрамывал, так страдал на публику, что ему обязательно перепадал или свиной хрящик, или кусочек заветренной сырокопчё(Н/НН)ой колбаски. | Н | Н,НН | Правильное написание: сырокопчёной.

# Комплект 51; источник № 4286
Здесь не было величестве(Н/НН)ых гор и скал, окружённых облаками; это был обычный русский простор: поля, луга, редкие деревни с соломенными и деревянными кровлями. | НН | Н,НН | Правильное написание: величественных.
Здесь не было величественных гор и скал, окружё(Н/НН)ых облаками; это был обычный русский простор: поля, луга, редкие деревни с соломенными и деревянными кровлями. | НН | Н,НН | Правильное написание: окружённых.
Здесь не было величественных гор и скал, окружённых облаками; это был обычный русский простор: поля, луга, редкие деревни с соломе(Н/НН)ыми и деревянными кровлями. | НН | Н,НН | Правильное написание: соломенными.
Здесь не было величественных гор и скал, окружённых облаками; это был обычный русский простор: поля, луга, редкие деревни с соломенными и деревя(Н/НН)ыми кровлями. | НН | Н,НН | Правильное написание: деревянными.

# Комплект 52; источник № 50134
Только великие умы были удостое(Н/НН)ы находиться в торжественном зале, стены которого были увешаны старинными картинами. | Н | Н,НН | Правильное написание: удостоены.
Только великие умы были удостоены находиться в торжестве(Н/НН)ом зале, стены которого были увешаны старинными картинами. | НН | Н,НН | Правильное написание: торжественном.
Только великие умы были удостоены находиться в торжественном зале, стены которого были увеша(Н/НН)ы старинными картинами. | Н | Н,НН | Правильное написание: увешаны.
Только великие умы были удостоены находиться в торжественном зале, стены которого были увешаны стари(Н/НН)ыми картинами. | НН | Н,НН | Правильное написание: старинными.

# Комплект 53; источник № 17036
На сегодня в пещере Ласко обнаруже(Н/НН)о около двух тысяч доисторических рисунков и гравюр, разделённых по тематике на три группы: люди, животные и символы. | Н | Н,НН | Правильное написание: обнаружено.
На сегодня в пещере Ласко обнаружено около двух тысяч доисторических рисунков и гравюр, разделё(Н/НН)ых по тематике на три группы: люди, животные и символы. | НН | Н,НН | Правильное написание: разделённых.
Были найде(Н/НН)ы здесь и многочисленные артефакты: каменные и костяные орудия, украшения, светильники. | Н | Н,НН | Правильное написание: найдены.
Были найдены здесь и многочисле(Н/НН)ые артефакты: каменные и костяные орудия, украшения, светильники. | НН | Н,НН | Правильное написание: многочисленные.
Были найдены здесь и многочисленные артефакты: каме(Н/НН)ые и костяные орудия, украшения, светильники. | НН | Н,НН | Правильное написание: каменные.
Были найдены здесь и многочисленные артефакты: каменные и костя(Н/НН)ые орудия, украшения, светильники. | Н | Н,НН | Правильное написание: костяные.

# Комплект 54; источник № 544
Когда тума(Н/НН)ый восток посветлел и в лагере отгремела барабанная дробь, нежданно началась атака неприятеля. | НН | Н,НН | Правильное написание: туманный.
Когда туманный восток посветлел и в лагере отгремела бараба(Н/НН)ая дробь, нежданно началась атака неприятеля. | НН | Н,НН | Правильное написание: барабанная.
Когда туманный восток посветлел и в лагере отгремела барабанная дробь, нежда(Н/НН)о началась атака неприятеля. | НН | Н,НН | Правильное написание: нежданно.

# Комплект 55; источник № 4442
Тема женстве(Н/НН)ости в философском восприятии России достаточно традиционна; она выразилась в работах славянофилов, была развита в концепциях философов Серебряного века: В. | НН | Н,НН | Правильное написание: женственности.
Тема женственности в философском восприятии России достаточно традицио(Н/НН)а; она выразилась в работах славянофилов, была развита в концепциях философов Серебряного века: В. | НН | Н,НН | Правильное написание: традиционна.
Тема женственности в философском восприятии России достаточно традиционна; она выразилась в работах славянофилов, была развита в концепциях философов Серебря(Н/НН)ого века: В. | Н | Н,НН | Правильное написание: Серебряного.

# Комплект 56; источник № 51256
Обстановка комнаты скромная: деревя(Н/НН)ая кровать; у окна — письменный стол для занятий; огромный кожаный сундук, обитый кованым железом, и удивительный ларчик, оклеенный резной костью. | НН | Н,НН | Правильное написание: деревянная.
Обстановка комнаты скромная: деревянная кровать; у окна — письме(Н/НН)ый стол для занятий; огромный кожаный сундук, обитый кованым железом, и удивительный ларчик, оклеенный резной костью. | НН | Н,НН | Правильное написание: письменный.
Обстановка комнаты скромная: деревянная кровать; у окна — письменный стол для занятий; огромный кожа(Н/НН)ый сундук, обитый кованым железом, и удивительный ларчик, оклеенный резной костью. | Н | Н,НН | Правильное написание: кожаный.
Обстановка комнаты скромная: деревянная кровать; у окна — письменный стол для занятий; огромный кожаный сундук, обитый кова(Н/НН)ым железом, и удивительный ларчик, оклеенный резной костью. | Н | Н,НН | Правильное написание: кованым.
Обстановка комнаты скромная: деревянная кровать; у окна — письменный стол для занятий; огромный кожаный сундук, обитый кованым железом, и удивительный ларчик, оклее(Н/НН)ый резной костью. | НН | Н,НН | Правильное написание: оклеенный.

# Комплект 57; источник № 506
Прямые и круговые участки железнодорожного пути соедине(Н/НН)ы между собой криволинейными — с таким переменным радиусом, чтобы центробежная сила нарастала постепенно. | Н | Н,НН | Правильное написание: соединены.
Прямые и круговые участки железнодорожного пути соединены между собой криволинейными — с таким переме(Н/НН)ым радиусом, чтобы центробежная сила нарастала постепенно. | НН | Н,НН | Правильное написание: переменным.
Прямые и круговые участки железнодорожного пути соединены между собой криволинейными — с таким переменным радиусом, чтобы центробежная сила нарастала постепе(Н/НН)о. | НН | Н,НН | Правильное написание: постепенно.

# Комплект 58; источник № 56119
Я вспомнил нашу арбатскую гости(Н/НН)ую, которая была перегорожена дубовым буфетом с вырезанными на дверцах гроздьями винограда, никелированные шары на спинке материнской кровати, старинные шёлковые обои с розами и крупным жасмином, купленный на Смоленском рынке абажур с длинными кистями, висевший на кручёном шнуре над столом. | Н | Н,НН | Правильное написание: гостиную.
Я вспомнил нашу арбатскую гостиную, которая была перегороже(Н/НН)а дубовым буфетом с вырезанными на дверцах гроздьями винограда, никелированные шары на спинке материнской кровати, старинные шёлковые обои с розами и крупным жасмином, купленный на Смоленском рынке абажур с длинными кистями, висевший на кручёном шнуре над столом. | Н | Н,НН | Правильное написание: перегорожена.
Я вспомнил нашу арбатскую гостиную, которая была перегорожена дубовым буфетом с выреза(Н/НН)ыми на дверцах гроздьями винограда, никелированные шары на спинке материнской кровати, старинные шёлковые обои с розами и крупным жасмином, купленный на Смоленском рынке абажур с длинными кистями, висевший на кручёном шнуре над столом. | НН | Н,НН | Правильное написание: вырезанными.
Я вспомнил нашу арбатскую гостиную, которая была перегорожена дубовым буфетом с вырезанными на дверцах гроздьями винограда, никелирова(Н/НН)ые шары на спинке материнской кровати, старинные шёлковые обои с розами и крупным жасмином, купленный на Смоленском рынке абажур с длинными кистями, висевший на кручёном шнуре над столом. | НН | Н,НН | Правильное написание: никелированные.
Я вспомнил нашу арбатскую гостиную, которая была перегорожена дубовым буфетом с вырезанными на дверцах гроздьями винограда, никелированные шары на спинке материнской кровати, стари(Н/НН)ые шёлковые обои с розами и крупным жасмином, купленный на Смоленском рынке абажур с длинными кистями, висевший на кручёном шнуре над столом. | НН | Н,НН | Правильное написание: старинные.
Я вспомнил нашу арбатскую гостиную, которая была перегорожена дубовым буфетом с вырезанными на дверцах гроздьями винограда, никелированные шары на спинке материнской кровати, старинные шёлковые обои с розами и крупным жасмином, купле(Н/НН)ый на Смоленском рынке абажур с длинными кистями, висевший на кручёном шнуре над столом. | НН | Н,НН | Правильное написание: купленный.
Я вспомнил нашу арбатскую гостиную, которая была перегорожена дубовым буфетом с вырезанными на дверцах гроздьями винограда, никелированные шары на спинке материнской кровати, старинные шёлковые обои с розами и крупным жасмином, купленный на Смоленском рынке абажур с дли(Н/НН)ыми кистями, висевший на кручёном шнуре над столом. | НН | Н,НН | Правильное написание: длинными.
Я вспомнил нашу арбатскую гостиную, которая была перегорожена дубовым буфетом с вырезанными на дверцах гроздьями винограда, никелированные шары на спинке материнской кровати, старинные шёлковые обои с розами и крупным жасмином, купленный на Смоленском рынке абажур с длинными кистями, висевший на кручё(Н/НН)ом шнуре над столом. | Н | Н,НН | Правильное написание: кручёном.

# Комплект 59; источник № 5144
На картине Вермеера «Улочка» мостовая вымете(Н/НН)а, мощённое плиткой крыльцо вымыто, фасады снизу выбелены извёсткой. | Н | Н,НН | Правильное написание: выметена.
На картине Вермеера «Улочка» мостовая выметена, мощё(Н/НН)ое плиткой крыльцо вымыто, фасады снизу выбелены извёсткой. | НН | Н,НН | Правильное написание: мощённое.
На картине Вермеера «Улочка» мостовая выметена, мощённое плиткой крыльцо вымыто, фасады снизу выбеле(Н/НН)ы извёсткой. | Н | Н,НН | Правильное написание: выбелены.

# Комплект 60; источник № 13731
На торжестве(Н/НН)ой церемонии вручения государственных наград была произнесена пламенная речь, которая произвела сильное впечатление на собравшихся в зале тружеников тыла. | НН | Н,НН | Правильное написание: торжественной.
На торжественной церемонии вручения государстве(Н/НН)ых наград была произнесена пламенная речь, которая произвела сильное впечатление на собравшихся в зале тружеников тыла. | НН | Н,НН | Правильное написание: государственных.
На торжественной церемонии вручения государственных наград была произнесе(Н/НН)а пламенная речь, которая произвела сильное впечатление на собравшихся в зале тружеников тыла. | Н | Н,НН | Правильное написание: произнесена.
На торжественной церемонии вручения государственных наград была произнесена пламе(Н/НН)ая речь, которая произвела сильное впечатление на собравшихся в зале тружеников тыла. | НН | Н,НН | Правильное написание: пламенная.
На торжественной церемонии вручения государственных наград была произнесена пламенная речь, которая произвела сильное впечатление на собравшихся в зале труже(Н/НН)иков тыла. | Н | Н,НН | Правильное написание: тружеников.

# Комплект 61; источник № 56092
Дует студё(Н/НН)ый ветер с Оки, редкие прохожие идут, путаясь в полах шуб и шерстяных пальто, а дóма тепло, рассыпается серебряным колокольчиком канарейка в клетке, на кухне ждёт чайник из костяного фарфора, изумрудное крыжовенное варенье положено в хрустальную розетку, и на вязанной крючком кипенно-белой скатерти сияет золочёная ложечка. | Н | Н,НН | Правильное написание: студёный.
Дует студёный ветер с Оки, редкие прохожие идут, путаясь в полах шуб и шерстя(Н/НН)ых пальто, а дóма тепло, рассыпается серебряным колокольчиком канарейка в клетке, на кухне ждёт чайник из костяного фарфора, изумрудное крыжовенное варенье положено в хрустальную розетку, и на вязанной крючком кипенно-белой скатерти сияет золочёная ложечка. | Н | Н,НН | Правильное написание: шерстяных.
Дует студёный ветер с Оки, редкие прохожие идут, путаясь в полах шуб и шерстяных пальто, а дóма тепло, рассыпается серебря(Н/НН)ым колокольчиком канарейка в клетке, на кухне ждёт чайник из костяного фарфора, изумрудное крыжовенное варенье положено в хрустальную розетку, и на вязанной крючком кипенно-белой скатерти сияет золочёная ложечка. | Н | Н,НН | Правильное написание: серебряным.
Дует студёный ветер с Оки, редкие прохожие идут, путаясь в полах шуб и шерстяных пальто, а дóма тепло, рассыпается серебряным колокольчиком канарейка в клетке, на кухне ждёт чайник из костя(Н/НН)ого фарфора, изумрудное крыжовенное варенье положено в хрустальную розетку, и на вязанной крючком кипенно-белой скатерти сияет золочёная ложечка. | Н | Н,НН | Правильное написание: костяного.
Дует студёный ветер с Оки, редкие прохожие идут, путаясь в полах шуб и шерстяных пальто, а дóма тепло, рассыпается серебряным колокольчиком канарейка в клетке, на кухне ждёт чайник из костяного фарфора, изумрудное крыжове(Н/НН)ое варенье положено в хрустальную розетку, и на вязанной крючком кипенно-белой скатерти сияет золочёная ложечка. | НН | Н,НН | Правильное написание: крыжовенное.
Дует студёный ветер с Оки, редкие прохожие идут, путаясь в полах шуб и шерстяных пальто, а дóма тепло, рассыпается серебряным колокольчиком канарейка в клетке, на кухне ждёт чайник из костяного фарфора, изумрудное крыжовенное варенье положе(Н/НН)о в хрустальную розетку, и на вязанной крючком кипенно-белой скатерти сияет золочёная ложечка. | Н | Н,НН | Правильное написание: положено.
Дует студёный ветер с Оки, редкие прохожие идут, путаясь в полах шуб и шерстяных пальто, а дóма тепло, рассыпается серебряным колокольчиком канарейка в клетке, на кухне ждёт чайник из костяного фарфора, изумрудное крыжовенное варенье положено в хрустальную розетку, и на вяза(Н/НН)ой крючком кипенно-белой скатерти сияет золочёная ложечка. | НН | Н,НН | Правильное написание: вязанной.
Дует студёный ветер с Оки, редкие прохожие идут, путаясь в полах шуб и шерстяных пальто, а дóма тепло, рассыпается серебряным колокольчиком канарейка в клетке, на кухне ждёт чайник из костяного фарфора, изумрудное крыжовенное варенье положено в хрустальную розетку, и на вязанной крючком кипенно-белой скатерти сияет золочё(Н/НН)ая ложечка. | Н | Н,НН | Правильное написание: золочёная.

# Комплект 62; источник № 1685
Некоторые картины художника Саврасова были небольшого размера; написа(Н/НН)ые им в течение одного-двух часов, они отмечены очарованием вдохновенных импровизаций. | НН | Н,НН | Правильное написание: написанные.
Некоторые картины художника Саврасова были небольшого размера; написанные им в течение одного-двух часов, они отмече(Н/НН)ы очарованием вдохновенных импровизаций. | Н | Н,НН | Правильное написание: отмечены.
Некоторые картины художника Саврасова были небольшого размера; написанные им в течение одного-двух часов, они отмечены очарованием вдохнове(Н/НН)ых импровизаций. | НН | Н,НН | Правильное написание: вдохновенных.

# Комплект 63; источник № 16869
В кабинете великого поэта — книжные полки, почти до потолка плотно уставле(Н/НН)ые томами, письменный стол со знаменитой чернильницей с арапчонком и последней читанной им книгой. | НН | Н,НН | Правильное написание: уставленные.
В кабинете великого поэта — книжные полки, почти до потолка плотно уставленные томами, письме(Н/НН)ый стол со знаменитой чернильницей с арапчонком и последней читанной им книгой. | НН | Н,НН | Правильное написание: письменный.
В кабинете великого поэта — книжные полки, почти до потолка плотно уставленные томами, письменный стол со знаменитой чернильницей с арапчонком и последней чита(Н/НН)ой им книгой. | НН | Н,НН | Правильное написание: читанной.

# Комплект 64; источник № 4169
В эту тетрадь в синем кожа(Н/НН)ом переплёте были записаны не только поразившие Варю высказывания из прочитанных книг, но и её первые стихи. | Н | Н,НН | Правильное написание: кожаном.
В эту тетрадь в синем кожаном переплёте были записа(Н/НН)ы не только поразившие Варю высказывания из прочитанных книг, но и её первые стихи. | Н | Н,НН | Правильное написание: записаны.
В эту тетрадь в синем кожаном переплёте были записаны не только поразившие Варю высказывания из прочита(Н/НН)ых книг, но и её первые стихи. | НН | Н,НН | Правильное написание: прочитанных.

# Комплект 65; источник № 12561
Трагически напряжё(Н/НН)ый, полный контрастов и противоречий, освещённый изнутри постоянными поисками идеала художественный мир Ф. | НН | Н,НН | Правильное написание: напряжённый.
Трагически напряжённый, полный контрастов и противоречий, освещё(Н/НН)ый изнутри постоянными поисками идеала художественный мир Ф. | НН | Н,НН | Правильное написание: освещённый.
Трагически напряжённый, полный контрастов и противоречий, освещённый изнутри постоя(Н/НН)ыми поисками идеала художественный мир Ф. | НН | Н,НН | Правильное написание: постоянными.
Трагически напряжённый, полный контрастов и противоречий, освещённый изнутри постоянными поисками идеала художестве(Н/НН)ый мир Ф. | НН | Н,НН | Правильное написание: художественный.

# Комплект 66; источник № 1647
Хрупкий точё(Н/НН)ый силуэт изображённой на картине девушки особенно выделяется на фоне белёной стены, по которой бегут перламутровые тени. | Н | Н,НН | Правильное написание: точёный.
Хрупкий точёный силуэт изображё(Н/НН)ой на картине девушки особенно выделяется на фоне белёной стены, по которой бегут перламутровые тени. | НН | Н,НН | Правильное написание: изображённой.
Хрупкий точёный силуэт изображённой на картине девушки особе(Н/НН)о выделяется на фоне белёной стены, по которой бегут перламутровые тени. | НН | Н,НН | Правильное написание: особенно.
