# Задание 13: НЕ/НИ со словами
# Формат: предложение | ответ | варианты | пояснение
# Ответы восстановлены по условию и официальному цифровому ответу каждого комплекта.


# Комплект 1; источник № 51414
Дом у Петровых (НЕ)БОЛЬШОЙ, но очень уютный. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания. Союз «но» не равен союзу «а».
Понравилось мне, как жил Карп Лукич: дом — полная чаша, всего вволю, ему только птичьего молока (НЕ)ДОСТАЁТ. | слитно | слитно,раздельно | полная чаша, всего вволю, ему только птичьего молока НЕДОСТАЁТ. — В значении «не хватает» этот глагол пишется слитно.

# Комплект 29; источник № 51320
Праздник оказался ничуть (НЕ)ВЕСЁЛЫМ, хотя все старались приободрить друг друга. | раздельно | слитно,раздельно | Праздник оказался ничуть НЕ ВЕСЁЛЫМ, хотя все старались приободрить друг друга. − Раздельно с прилагательными, отрицание усиливается сочетанием «ничуть не» (см. правило).
(НЕ)ОБЫЧНАЯ обстановка мешала сосредоточиться. | слитно | слитно,раздельно | С прилагательным пишется слитно, потому что можно заменить синонимом «странная».
Так прошли века и годы, и минуты, и недели, промелькнули (НЕ)ЗАМЕТНО и исчезли в никогда. | слитно | слитно,раздельно | С наречием пишется слитно, потому что нет условий для раздельного написания.
Мать работала (НЕ)ПОКЛАДАЯ рук, сыновья и дочери старались помогать ей во всём. | раздельно | слитно,раздельно | Мать работала НЕ ПОКЛАДАЯ рук, сыновья и дочери старались помогать ей во всём. − С деепричастием во фразеологизме сохраняется историческое раздельное написанием.
Среди мрачных, ещё (НЕ)ОДЕТЫХ листвой деревьев этот кустик с зелёными листочками казался чудом. | раздельно | слитно,раздельно | С причастием в причастном обороте раздельно (у причастия есть зависимые слова).

# Комплект 30; источник № 51335
Разговаривать было вроде (НЕ)О ЧЕМ; она молчала, я тоже молчал. | раздельно | слитно,раздельно | Раздельно в отрицательных местоимениях с предлогом.
Одна тайна во всей этой истории так и осталась (НЕ)РАСКРЫТА. | раздельно | слитно,раздельно | С кратким причастием раздельно.
Вместо исчезнувших слов язык (НЕ)ПРЕМЕННО создаёт новые. | слитно | слитно,раздельно | Без НЕ не употребляется.
(НЕ)ПОВТОРИМАЯ пора цветения багульника привлекает на Алтай сотни туристов со всей страны. | слитно | слитно,раздельно | Без «не» не употребляется.
В тот день я должен был съездить в город по делам, (НЕ)ИМЕЮЩИМ к этой истории никакого отношения. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.

# Комплект 31; источник № 57078
Последний щенок так и остался (НЕ)ПРИСТРОЕННЫМ — мы заботились о нём сами. | слитно | слитно,раздельно | мы заботились о нём сами. — Причастие без зависимых слова пишется слитно.
Матушка, (НЕ)ВНЯВ предписаниям доктора, уже на следующее утро собралась натаскать воды в хату. | раздельно | слитно,раздельно | Деепричастие пишется раздельно.
Кот Степан воровал мясо из лавки регулярно, однако был удивительно везуч и (НЕ)РАЗ выкручивался из самых неприятных ситуаций. | раздельно | слитно,раздельно | Словарное написание, раздельно.
Он шёл, ориентируясь на (НЕ)ПРИМЕТНЫЕ для чужаков знаки, которые сам оставил в прошлую экспедицию. | слитно | слитно,раздельно | Имя прил. без условий для разделения пишется слитно.
При чтении генеральского дневника меня поразили (НЕ)ОБЫЧНЫЕ для военных мемуаров подробности сражений, а редко встречающиеся в подобной литературе философские размышления. | раздельно | слитно,раздельно | Частица НЕ, стоящая перед именем прил. относится не к нему, а к слову подробности, поэтому пишется раздельно. См: поразили не подробности, а размышления.

# Комплект 32; источник № 51419
(НЕ)РАСПРОДАННЫЕ игрушки уценили. | слитно | слитно,раздельно | С причастием без зависимых слов пишется слитно.
(НЕ)РАСПРОДАННЫЕ к празднику игрушки уценили. | раздельно | слитно,раздельно | Причастие с зависимыми словами, пишется раздельно.
Дорога (НЕ)РОВНАЯ, зато самая короткая. | слитно | слитно,раздельно | Слитно с прилагательным, условий для раздельного написания нет, противопоставления нет, союз «зато» не равен «а».
Дорога была далеко (НЕ)РОВНАЯ, хоть и самая короткая. | раздельно | слитно,раздельно | Раздельно с прилагательным, условие для раздельного написания — «далеко не».
Вдоль улиц громоздятся горы (НЕ)РАСТАЯВШЕГО снега. | слитно | слитно,раздельно | Причастие без зависимых слов, пишется слитно.

# Комплект 33; источник № 54221
В регионе, бóльшая часть территории которого занята вечной мерзлотой, научились выращивать лимоны, занялись пчеловодством и получают (НЕ)БЫВАЛЫЕ урожаи картофеля. | слитно | слитно,раздельно | Имя прилагательное пишется слитно без условий для разделения.
(НЕ)ПОМНЯ себя от страха, она мчалась на край посёлка и пряталась в глубине большого сада. | раздельно | слитно,раздельно | Деепричастие пишется раздельно.
Как отмечают зоологи, численность пострадавших во время разлива нефти птиц (НЕ)ДООЦЕНИВАЕТСЯ. | слитно | слитно,раздельно | Слово с приставкой НЕДО, антоним — переоценивается.
Брошенный в поле красный трактор выглядел на общем фоне серо-белого пейзажа как свежая ссадина, но только вблизи стало заметно, что он уже (НЕ)КРАСНЫЙ, а ржавый. | раздельно | слитно,раздельно | Имя прилагательное пишется раздельно при наличии условий для разделения, это союз «а».
Лучи заходящего солнца преломлялись (НЕ)ВИДАННЫМ сочетанием красок, создавали неестественно прекрасный фон, на котором яблони и груши казались мозаичными — малахитовыми и янтарными. | слитно | слитно,раздельно | малахитовыми и янтарными. — Имя прилагательное пишется слитно без условий для разделения.

# Комплект 34; источник № 52988
Протасов не без основания считал себя цельным человеком, жил открыто, (НЕ)ТАЯ нажитого. | раздельно | слитно,раздельно | Протасов не без основания считал себя цельным человеком, жил открыто, НЕ ТАЯ нажитого. С деепричастием раздельно.
И предо мной уже не забор, а гигантский театральный занавес, горящий, блещущий совершенно (НЕ)ЗНАКОМЫМИ мне красками. | слитно | слитно,раздельно | И предо мной уже не забор, а гигантский театральный занавес, горящий, блещущий совершенно НЕЗНАКОМЫМИ мне красками. Имя прилагательное пишется слитно без условий для разделения. Наличие зависимого слова не влияет.
Лекции вызывали ажиотаж, и привлекало студентов (НЕ)БЛЕСТЯЩЕЕ знание предмета, а остроумие профессора и его умение импровизировать. | раздельно | слитно,раздельно | Лекции вызывали ажиотаж, и привлекало студентов НЕ БЛЕСТЯЩЕЕ знание предмета, а остроумие профессора и его умение импровизировать. Частица «не» относится к слову «знание»: не знание, а остроумие.
(НЕ)ОГРАНИЧЕННАЯ стенами аквариума, рыба может вырастать до огромных размеров. | раздельно | слитно,раздельно | НЕ ОГРАНИЧЕННАЯ стенами аквариума, рыба может вырастать до огромных размеров. В причастном обороте причастие пишется раздельно. Запятая нужна, потому что причастный оборот имеет значение причины (почему рыба может вырасти? потому что не ограничена...).
Это открывает (НЕ)ДОСТУПНЫЕ ранее возможности для чрезвычайно эффективной защиты данных и надёжной идентификации пользователей. | слитно | слитно,раздельно | Это открывает НЕДОСТУПНЫЕ ранее возможности для чрезвычайно эффективной защиты данных и надёжной идентификации пользователей. Имя прилагательное пишется слитно без условий для разделения. Наличие зависимого слова не влияет.

# Комплект 35; источник № 51410
(НЕ)ДОЖДАВШИСЬ брата, я ушел. | раздельно | слитно,раздельно | С деепричастием пишем раздельно.
Партнёры предложили новый контракт на крайне (НЕ)ВЫГОДНЫХ условиях. | слитно | слитно,раздельно | С прилагательным пишется слитно, нет условий для раздельного написания.
(НЕ)ЧЕСТНОСТЬ, отсутствие совести и принципов мой дед не переносил в людях больше всего. | слитно | слитно,раздельно | С именем сущ. пишется слитно, нет условий для раздельного написания.
Геннадий шёл по пустынным улицам, (НЕ)СМОТРЯ по сторонам и пряча глаза за темными очками. | раздельно | слитно,раздельно | С деепричастием пишем раздельно.
Это было (НЕ)ЧТО иное, как мой потерянный сто лет назад блокнот. | раздельно | слитно,раздельно | Устойчивый оборот «не что иное, как».

# Комплект 36; источник № 59276
В течение суток голосовая активность большинства певчих птиц максимальна в утренние часы, после восхода солнца она спадает и опять (НЕ)МНОГО возрастает к вечеру. | слитно | слитно,раздельно | наречие без условий для разделения слитно.
«Будь спокойна. Ты ни в чём (НЕ)ВИНОВНА», — одними губами говорит Пушкин и пытается улыбнуться. | раздельно | слитно,раздельно | одними губами говорит Пушкин и пытается улыбнуться. — Краткое имя прил. при наличии отриц. усилителя раздельно.
В организме человека витамины либо не вырабатываются совсем, либо вырабатываются в (НЕ)ДОСТАТОЧНЫХ количествах. | слитно | слитно,раздельно | Имя прил. без условий для разделения слитно.
Все прежние мысли её о женихе, о княжне Марье, о деревенской жизни (НИ)РАЗУ не пришли ей в голову. | раздельно | слитно,раздельно | Частица НИ пишется раздельно.
Чувствовалось, что там, где рождается сейчас этот страшный звук, происходит нечто чудовищное, (НЕ)БЫВАЛОЕ по силе. | слитно | слитно,раздельно | Имя прил. без условий для разделения слитно.

# Комплект 37; источник № 51328
Абсолютно (НЕ)ЗЛОЙ, но при этом довольно строгий взгляд матери заставил Машу рассказать правду. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом (добрый), условий для раздельного написания нет.
Я не считал Токарева своим (НЕ)ДРУГОМ, хотя иногда он меня невообразимо раздражал. | слитно | слитно,раздельно | Слитно с сущ., которое можно заменить синонимом (врагом), условий для раздельного написания нет.
Воздух, ещё (НЕ)СТАВШИЙ знойным, приятно освежает. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.
(НЕ)НАЙДЯ поддержки среди своих одноклассников, мы отправились к моему старшему брату. | раздельно | слитно,раздельно | Раздельно с деепричастием.
Днём в городе всегда было очень (НЕ)СПОКОЙНО. | слитно | слитно,раздельно | Слитно с наречием, которое можно заменить синонимом (тревожно), условий для раздельного написания нет.

# Комплект 38; источник № 51326
Библиотека была (НЕ)БОЛЬШАЯ, но очень ценная. | слитно | слитно,раздельно | Слитно с прилаг., которое можно заменить синонимом (маленькая), условий для раздельного написания нет.
Дальше он спрятал рукопись, боясь, что начнётся шум, а тогда ему (НЕ)СДОБРОВАТЬ. | слитно | слитно,раздельно | Слово без «не» не употребляется.
В комнате был беспорядок, на полу валялись игрушки, (НЕ)УБРАННЫЕ детьми. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.
Люся на моё повышение по службе отреагировала отнюдь (НЕ)РАДОСТНО, и я от такой реакции растерялся. | раздельно | слитно,раздельно | Раздельно с наречием, условие для раздельного написания — слово «отнюдь».
Необъяснимая (НЕ)ДРУЖЕЛЮБНОСТЬ сторожа на проходной удивила меня. | слитно | слитно,раздельно | Слитно с сущ., которое можно заменить синонимом (неприязнь), условий для раздельного написания нет. * Слово «сдобровать» существовало в языке во времена Даля и Ушакова. Поэтому в современных словарях даётся только слитное написание с НЕ, а само слово «сдобровать» отмечается как устаревшее. https://gramota.ru/poisk?query=не*сдобровать&mode=slovari https://lopatin.academic.ru/78040/несдобровать.

# Комплект 39; источник № 61498
Поступил Фёдор тогда (НЕ)ПО-ТОВАРИЩЕСКИ. | раздельно | слитно,раздельно | пишется раздельно с наречиями, которые пишутся через дефис (образованы от прилагательных с помощью приставки по- и суффиксов -ому, -ему, -и).
Слышать такую суровую оценку в свой адрес было крайне (НЕ)ПРИЯТНО. | слитно | слитно,раздельно | пишется слитно, так как можно заменить синонимом без НЕ (плохо, обидно); наречие меры и степени «крайне» подчёркивает слитное написание.
Если капитан примет неверное решение, то (НЕ)СДОБРОВАТЬ всем нам! | слитно | слитно,раздельно | пишется слитно, так как слово без НЕ не употребляется.
Санька решил помочь мне (НЕ)ПРОШЕНЫМ, но дельным советом. | слитно | слитно,раздельно | пишется слитно, так как нет зависимых слов и нет противопоставления с союзом А (союз НО соединяет разные признаки и не отменяет слитного написания).
Мне было обидно (НЕ)СТОЛЬКО за себя, сколько за ребят. | раздельно | слитно,раздельно | пишется раздельно, так как это первая часть составного союза «не столько... сколько».

# Комплект 40; источник № 51317
Стоит выйти на крыльцо, как осень окружит тебя и начнёт настойчиво дышать в лицо холодноватою свежестью своих загадочных чёрных пространств, горьким запахом первого тонкого льда, сковавшего к ночи (НЕ)ПОДВИЖНЫЕ воды. | слитно | слитно,раздельно | Пишется слитно с прилагательным, потому что его можно заменить синонимом «застывшие».
Наступила тишина, такая зловещая и (НЕ)СТЕРПИМАЯ, как и внезапно оборвавшийся рёв. | слитно | слитно,раздельно | Слово не употребляется без «не».
Группе учёных предстояло отправиться на ещё (НЕ)ИССЛЕДОВАННЫЙ участок острова. | раздельно | слитно,раздельно | Причастие в составе причастного оборота, то есть при наличии зависимых слов, пишется раздельно.
(НЕ)ДОГОВОРИВ начатого, он махнул рукой и пошёл прочь. | раздельно | слитно,раздельно | Раздельно с деепричастием.
Именно критики у нас и (НЕ)ДОСТАЁТ. | слитно | слитно,раздельно | В глаголе со значением «было недостаточно, меньше нормы» «не» пишется слитно.

# Комплект 41; источник № 51250
Сегодня, когда опреснение морской воды стало затратным и (НЕ)ПОЗВОЛЯЕТ обеспечить всех питьевой водой, в качестве выхода предлагается проект получения воды при растапливании айсбергов. | раздельно | слитно,раздельно | Сегодня, когда опреснение морской воды стало затратным и НЕ ПОЗВОЛЯЕТ обеспечить всех питьевой водой, в качестве выхода предлагается проект получения воды при растапливании айсбергов.
(НЕ)ОСОЗНАВАЯ сути правил коммуникации, люди знакомы с ними на словах, забывая о том, что их необходимо использовать каждый день. | раздельно | слитно,раздельно | НЕ ОСОЗНАВАЯ сути правил коммуникации, люди знакомы с ними на словах, забывая о том, что их необходимо использовать каждый день.
Самостоятельно осваивать технологию обработки металла и получать профессию кузнеца — очень (НЕ)ПРОСТОЕ занятие. | слитно | слитно,раздельно | очень НЕПРОСТОЕ занятие.
Я не любитель романтических комедий и лёгких мелодрам, поэтому фильм я так и (НЕ)ДОСМОТРЕЛ до конца. | раздельно | слитно,раздельно | частица «не» с глаголом пишется раздельно. Не осознавая — частица «не» с деепричастием пишется раздельно. (очень) непростое (= очень трудное) — имя прилагательное, возможна замена синонимом, нет противопоставления и слов, дающих раздельное написание, см правило к заданию. Не досмотрел#8239; — частица «не» с глаголом пишется раздельно. Действие не завершено. См. правило о различии приставки «недо» и частицы «не». Неподвижные (= застывшие, замершие) — имя прилагательное, возможна замена синонимом, нет противопоставления и слов, дающих раздельное написание, см правило к заданию.
Стоит выйти на крыльцо, как осень начнёт дышать в лицо горьким запахом первого тонкого льда, сковавшего (НЕ)ПОДВИЖНЫЕ воды. | слитно | слитно,раздельно | В этом контексте написание должно быть слитно.

# Комплект 42; источник № 51318
Это был (НЕ)КТО иной, как мой друг Борька. | раздельно | слитно,раздельно | Стандартный оборот речи «не кто иной как», раздельно.
В Мещёрском крае можно встретить никогда (НЕ)КОШЕННЫЕ луга. | раздельно | слитно,раздельно | Есть зависимое слово, поэтому с причастием пишется раздельно.
Щёки у неё были круглые и красные, а губы (НЕ)ЕСТЕСТВЕННО алые. | слитно | слитно,раздельно | С наречием пишется слитно, заменяется синонимом, условий для раздельного написания нет.
Было совершенно (НЕ)ЯСНО, почему они так долго смотрят на этот простой рисунок. | слитно | слитно,раздельно | С наречием пишется слитно, заменяется синонимом, условий для раздельного написания нет.
Почему-то нас он сразу (НЕ)ВЗЛЮБИЛ. | слитно | слитно,раздельно | Слово без не не употребляется. (⁎) словарь Даля не считается словарём, по которому следует сверять написание слов, он очень «древний».

# Комплект 43; источник № 53307
Глагол «зарисовывать» требует обязательного наличия натуры, модели, являющейся предметом изображения, между тем как «рисовать» можно и (НЕ)ИМЕЯ в виду никакого реального объекта. | раздельно | слитно,раздельно | Глагол «зарисовывать» требует обязательного наличия натуры, модели, являющейся предметом изображения, между тем как «рисовать» можно и НЕ ИМЕЯ в виду никакого реального объекта. С деепричастием раздельно.
Две трети времени полёта самолёт будет находиться в безвоздушном пространстве, что существенно снизит перегрев, (НЕ)ИЗБЕЖНЫЙ при движении в атмосфере. | слитно | слитно,раздельно | Две трети времени полёта самолёт будет находиться в безвоздушном пространстве, что существенно снизит перегрев, НЕИЗБЕЖНЫЙ при движении в атмосфере. Имя прилагательное пишется слитно без условий для разделения. Наличие зависимого слова не влияет.
И (НЕ)СДОБРОВАТЬ бы бедному рыцарю, когда бы в этой великой беде ему не помог некий кудесник, верный его друг. | слитно | слитно,раздельно | И НЕСДОБРОВАТЬ бы бедному рыцарю, когда бы в этой великой беде ему не помог некий кудесник, верный его друг. В современном языке слова «сдобровать» не существует.
В овраг никто не ходил, потому что он был без деревьев, скучен, не слишком широк и вовсе (НЕ)ГЛУБОК. | раздельно | слитно,раздельно | В овраг никто не ходил, потому что он был без деревьев, скучен, не слишком широк и вовсе НЕ ГЛУБОК. Имя прилагательное, пишется раздельно, так как есть условие для разделения, это слово «вовсе».
Чтобы вытащить их на свет, приходилось опускаться на колени и что есть силы тянуть за железные скобы, прибитые к пузатым сундучным бокам, — лишь тогда подкроватные обитатели (НЕ)ХОТЯ выползали, поскрипывая и оставляя на земляном полу длинные борозды. | слитно | слитно,раздельно | лишь тогда подкроватные обитатели НЕ́ХОТЯ выползали, поскрипывая и оставляя на земляном полу длинные борозды. Это наречие (выползали как?) с ударением на первом слоге пишется слитно, словарное написание. Деепричастие не хотя́ (что делая?) малоупотребительно.

# Комплект 44; источник № 51421
(НЕ)КОГО было спросить, как проехать к концертному залу. | слитно | слитно,раздельно | Слитно с местоимением без предлога.
Василиса Егоровна возвратилась, (НЕ)УСПЕВ ничего выведать от попадьи. | раздельно | слитно,раздельно | Раздельно с деепричастием.
Мутно-болотная водная гладь была (НЕ)ЕСТЕСТВЕННО гладкой, но это спокойствие лишь настораживало. | слитно | слитно,раздельно | Слитно с наречием, условий для раздельного написания нет.
Хотя я (НЕ)СОВСЕМ был с ним согласен, однако ж чувствовал, что долг чести требовал моего присутствия в войске императрицы. | раздельно | слитно,раздельно | Раздельно с наречием не на «о».
Многие употребляют в речи (НЕ)НУЖНЫЕ жаргонные словечки, даже сами того не замечая. | слитно | слитно,раздельно | Слитно с прилагательным, условий для раздельного написания нет.

# Комплект 45; источник № 60930
На кусте шиповника радовали глаз (НЕ)РАСПУСТИВШИЕСЯ, но уже ароматные бутоны. | слитно | слитно,раздельно | пишется слитно. Это причастие, употреблённое без зависимых слов. Противопоставления с союзом «а» здесь нет. Союз «но» не влияет на написание, он лишь указывает на наличие второго признака у предмета (бутоны одновременно и «нераспустившиеся», и «ароматные»).
В докладе (НЕ)СКАЗАНО ни одного слова о причинах сложившейся ситуации. | раздельно | слитно,раздельно | пишется раздельно. НЕ с краткими причастиями всегда пишется раздельно.
Подниматься по тропе в гору было очень (НЕ)ЛЕГКО. | слитно | слитно,раздельно | пишется слитно. Это наречие на -о, которое можно заменить синонимом без НЕ (трудно). Усилительное слово «очень» не влияет на написание. Условий для раздельного написания нет.
(НЕ)ЗАМЕТНЫЕ в темноте маленькие рыбки скользили в озёрной воде. | слитно | слитно,раздельно | пишется слитно. Это прилагательное. Наличие зависимого слова («в темноте») не влияет на слитное написание прилагательных с НЕ (влияют только слова «вовсе не», «далеко не», «отнюдь не» и т. п.). Можно заменить синонимом (скрытые).
Это будет для меня (НЕ)СТОЛЬ удобно. | раздельно | слитно,раздельно | пишется раздельно. НЕ пишется раздельно с наречиями меры и степени (не столь, не так, не очень)..

# Комплект 46; источник № 56534
Ёжик всё плясал, Медвежонок играл, и они даже не заметили, что, кроме них, в доме (НИ)КОГО нет. | слитно | слитно,раздельно | Местоимение пишется слитно, если нет предлога (ср: ни у кого).
Он любит запутанные фразы или вкладывает в уста действующих лиц торжественные, но (НЕ)СОВСЕМ грамотные сентенции. | раздельно | слитно,раздельно | С этим словом всегда раздельно.
Ася (НИ)СКОЛЬКО не походила на своего брата. | слитно | слитно,раздельно | Это наречие, которое имеет неизменную форму и употребляется в значении полного отсутствия чего-либо (количества, меры, степени).
О чём бы (НИ)ШЛА речь, в словах друга непременно пряталась ирония, проявлявшая себя в оттенке интонации, изгибе ухмылки. | раздельно | слитно,раздельно | Усилительная частица пишется раздельно.
Командировку утвердили ещё в июле, и ехать обязан был (НЕ)КТО иной, как Дмитриев. | раздельно | слитно,раздельно | В обороте «НЕ КТО ИНОЙ, КАК» верно раздельное написание.

# Комплект 47; источник № 51315
Деду Вадиму довелось прожить большую и весьма (НЕ)ЛЁГКУЮ жизнь. | слитно | слитно,раздельно | Деду Вадиму довелось прожить большую и весьма НЕЛЁГКУЮ жизнь. − Имя прил., можно заменить синонимом «трудную». Слово «весьма» усиливает значение, не является отрицательным усилителем.
Даже укравшего не называют вором, пока факт воровства (НЕ)ДОКАЗАН в суде. | раздельно | слитно,раздельно | С кратким причастием раздельное написание.
Григорий вздрогнул и, (НЕ)ДОУМЕВАЯ, поднял на отца глаза. | слитно | слитно,раздельно | Слитно, часть корня.
Эта комната только кажется большой, а так она ничуть (НЕ)ПРОСТОРНЕЕ нашей. | раздельно | слитно,раздельно | С прилагательным пишется раздельно, т. к. есть отрицательный усилитель — слово «ничуть».
В зале было (НЕ)УБРАНО, некоторые столы и стулья оказались сломаны. | раздельно | слитно,раздельно | В зале было НЕ УБРАНО, некоторые столы и стулья оказались сломаны. − С кратким причастием пишется раздельно.

# Комплект 48; источник № 51340
Но кашу в этом городе ели ещё долго-долго и больше (НИ)КТО там никогда не голодал! | слитно | слитно,раздельно | Местоимение без предлога слитно.
А через мгновение возле его кровати появился (НЕ)КТО иной, как та самая ведьма собственной персоной. | раздельно | слитно,раздельно | Сочетание «не кто иной» пишется через «е» и раздельно в предложениях с противопоставлением.
Старушку мой вопрос (НИ)СКОЛЬКО не обидел, наоборот, неожиданно рассмешил. | слитно | слитно,раздельно | Наречие слитно.
Я не помню (НИ)СКОЛЬКО времени на это ушло, ни как это случилось. | раздельно | слитно,раздельно | Повторяющийся союз «ни» пишется раздельно (обратите внимание на второй союз).
(НИ)КТО иной не сможет это сделать. | слитно | слитно,раздельно | Сочетание «никто иной» пишется через «и» и слитно.

# Комплект 49; источник № 61526
Витька и сам понимал, что поступил очень (НЕ)ХОРОШО. | слитно | слитно,раздельно | пишется слитно, так как это наречие можно заменить синонимом без НЕ (плохо); слово «очень» усиливает утверждение и подчёркивает слитное написание.
Полное собрание сочинений автора ещё (НЕ)ИЗДАНО. | раздельно | слитно,раздельно | пишется раздельно, так как это краткое страдательное причастие прошедшего времени.
Температура в помещении была (НЕ)СЛИШКОМ комфортная. | раздельно | слитно,раздельно | пишется раздельно, так как сочетание частицы НЕ с наречием меры и степени «слишком» всегда пишется раздельно.
Он обошёл вокруг пока (НЕ)НАРЯЖЕННОЙ, но очень красивой ёлки. | раздельно | слитно,раздельно | пишется раздельно, так как это полное причастие (суффикс -ЕНН-) с зависимым словом «пока».
Охотник был одет в (НЕ)ЗАМЕТНУЮ среди деревьев куртку. | слитно | слитно,раздельно | пишется слитно, так как это прилагательное (синоним «скрытую»); наличие зависимых слов, не начинающихся с НИ- и не являющихся словами «далеко», «вовсе», «отнюдь», на написание прилагательного не влияет.

# Комплект 50; источник № 59908
Да, неласково и вовсе (НЕ)ТОРЖЕСТВЕННО встретила меня северная природа. | раздельно | слитно,раздельно | Раздельное написание НЕ с наречием на -о. Слово «вовсе» является словом-магнитом (усилительным словом), которое требует раздельного написания частицы НЕ. К таким словам также относятся далеко не, отнюдь не, ничуть не, нисколько не.
Наступать на травмированную ногу было крайне (НЕ)ПРИЯТНО. | слитно | слитно,раздельно | Наступать на травмированную ногу было крайне НЕПРИЯТНО. Слитное написание НЕ с наречием на -о.Наречие неприятно можно заменить синонимом без НЕ (например, болезненно, мучительно, отвратительно). Слово «крайне» является наречием меры и степени (очень, весьма, совершенно) и, в отличие от слов типа «вовсе не», не влияет на написание НЕ, а наоборот, указывает на возможность слитного написания.
Посмотри на себя: руки (НЕ)МЫТЫ, волосы колтуном! | раздельно | слитно,раздельно | Раздельное написание НЕ с кратким причастием. Частица НЕ с краткими страдательными причастиями всегда пишется раздельно. Мыты — это краткое причастие (каковы? — мыты, их мыли).
Каждый мальчик в детстве мечтал открыть ещё (НЕ)ИССЛЕДОВАННЫЕ земли. | раздельно | слитно,раздельно | Раздельное написание НЕ с полным причастием. Частица НЕ пишется раздельно с полным причастием, если у этого причастия есть зависимое слово. В данном случае: не исследованные (когда? в какой степени?) ещё.
(НИ)КТО иной не мог приготовить этот пирог так, как моя мама. | слитно | слитно,раздельно | Слитное написание НИ в отрицательном местоимении. Отрицательное местоимение «никто» пишется слитно, так как между частицей (приставкой) НИ и корнем (кто) нет предлога.

# Комплект 51; источник № 51411
(НЕ)СКОЛЬКО раз Матвей пытался поговорить с братом, но безрезультатно. | слитно | слитно,раздельно | С местоимением, заменяющим числительное, пишется слитно, нет условий для раздельного написания.
Меня интересовало (НЕ)СКОЛЬКО времени было затрачено, а каков результат. | раздельно | слитно,раздельно | С местоимением, заменяющим числительное, пишется раздельно, союз «а».
Кто-то (НЕ)СПЕША шёл по аллее. | раздельно | слитно,раздельно | С наречием, образованным от деепричастия, пишем раздельно.
Медсестра, (НЕ)ГОДУЯ, вбежала в палату. | слитно | слитно,раздельно | Без «не» не употребляется.
В этом ресторане мясо всегда (НЕ)ДОЖАРЕНО, зато паста переварена. | слитно | слитно,раздельно | Приставка «недо», антоним «пережарено».

# Комплект 52; источник № 56117
Шли годы, а мечта побывать на маяке оставалась (НЕ)СБЫВШЕЙСЯ. | слитно | слитно,раздельно | Слитно с причастием без зависимых слов.
Хотя свет луны был (НЕ)СИЛЬНЕЕ фонарика, он ложился всюду поровну, поэтому идти по лесу стало намного легче. | раздельно | слитно,раздельно | Словарное написание.
В заткнутые кусками ветоши окошки землянки всё утро прорывался (НЕ)УГОМОННЫЙ птичий щебет. | слитно | слитно,раздельно | Без НЕ не употребляется.
Эта книга была бы далеко (НЕ)ПОЛНА, если бы я не рассказал о судьбе отца хотя бы на нескольких страницах. | раздельно | слитно,раздельно | Раздельно с именем прил. при наличии отриц. усилителя «далеко не».
Я растерялся, (НЕ)ЗНАЯ, здороваться с ним или нет. | раздельно | слитно,раздельно | Всегда раздельно с деепричастием.

# Комплект 53; источник № 51337
Утренний воздух, (НЕ)РАСКАЛЁННЫЙ жгучим солнцем, был свеж и приятен. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.
Я (НЕ)РАЗ бывал на Кавказе, но всё же каждый приезд открывал для меня что-то новое, и я больше и больше любил этот край. | раздельно | слитно,раздельно | С наречием не на «о» раздельно, см. правила.
Из гнезда, свитого ласточками под крышей сарая, выпал (НЕ)ОПЕРИВШИЙСЯ птенец. | слитно | слитно,раздельно | Причастие без зависимых слов, поэтому слитно.
(НЕ)ПРАВИЛЬНЫЕ, но приятные черты лица придавали Насте сходство с матерью. | слитно | слитно,раздельно | Слитно с прил., которое можно заменить синонимом «неверные», условий для раздельного написания нет.
Честолюбие есть (НЕ)ЖЕЛАНИЕ быть честным, а жажда власти. | раздельно | слитно,раздельно | Раздельно с сущ., условие для раздельного написания — союз «а».

# Комплект 54; источник № 51325
Территория была дикая, ещё (НЕ)ОБЖИТАЯ, работа предстояла огромная. | раздельно | слитно,раздельно | Причастие с зависимыми словами, поэтому раздельно.
Мать видела, что её сын что-то (НЕ)ДОГОВАРИВАЕТ, но решила не давить на него и подождать: возможно, он сам решит всё ей рассказать. | слитно | слитно,раздельно | Приставка «недо» в значении неполноты действия, пишется слитно.
Павел Петрович выглядел очень (НЕ)ДОВОЛЬНЫМ. | слитно | слитно,раздельно | Павел Петрович выглядел очень НЕДОВОЛЬНЫМ. − Слитно с прилаг., которое можно заменить синонимом (хмурым), условий для раздельного написания нет.
(НЕ)ГРОМКИЙ, но неожиданный стук в дверь испугал Юрия. | слитно | слитно,раздельно | НЕГРОМКИЙ, но неожиданный стук в дверь испугал Юрия. Слитно с прилаг., которое можно заменить синонимом (тихий), условий для раздельного написания нет.
